word,accent,gram,infltype,label,forms
раздать,5,"св@в/с[""1""]:_буд._раздАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//рОздал,-а,-о,-и],раздАвший;_прич.страд._рОзданный(_кф_рОздан,разданА//рОздана,рОздано,рОзданы)$III",,,
распродать,8,"св@в/с[""1""]:_буд._распродАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//распродал,-а,-о,-и],распродАвший;_прич.страд._распрОданный(_кф_распродан,-а//-а,-о,-ы)$III",,,
сдать,3,"св@в/с:_буд._сдАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА;_прич.страд._сдАнный(_кф_сдан,-а,-о,-ы)$III",,,
создать,5,"св@в/с[""1""]:_буд._создАм,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА[//создал,-а,-о,-и],создАвший;_прич.страд._сОзданный(_кф_создан,-а//-а,-о,-ы)$III",,,
дать,2,"св@в/с':_буд._дам,-шь,-ст,-дИм,-дИте,-дУт;_повел._-й;_прош._-л,-лА,дАло//далО,дАли;_прич.страд._дАнный(_кф_дан,-а,-о,-ы),%недал,недало//недало,недали(_но_недала)$III",,,
вдаться,3,"св@в/с'':_буд._вдАмся,вдАшься,вдАстся,вдадИмся,вдадИтесь,вдадУтся;_повел._вдАйся;_прош._вдАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
воздаться,5,"св@в/с'',безл.:_буд._воздАстся$III",,,
воссоздаться,8,"св@в/с'':_буд._воссоздАмся,воссоздАшься,воссоздАстся,воссоздадИмся,воссоздадИтесь,воссоздадУтся;_повел._воссоздАйся;_прош._воссоздАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
выдаться,2,"св@а:_буд._вЫдамся,вЫдашься,вЫдастся,вЫдадимся,вЫдадитесь,вЫдадутся;_повел._вЫдайся;_прош._вЫдался,-ась,-ось,-ись$III",,,
даться,2,"св@в/с'':_буд._дАмся,дАшься,дАстся,дадИмся,дадИтесь,дадУтся;_повел._дАйся;_прош._дАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
задаться,4,"св@в/с'':_буд._задАмся,задАшься,задАстся,зададИмся,зададИтесь,зададУтся;_повел._задАйся;_прош._задАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
обдаться,4,"св@в/с'':_буд._обдАмся,обдАшься,обдАстся,обдадИмся,обдадИтесь,обдадУтся;_повел._обдАйся;_прош._обдАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
отдаться,4,"св@в/с'':_буд._отдАмся,отдАшься,отдАстся,отдадИмся,отдадИтесь,отдадУтся;_повел._отдАйся;_прош._отдАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
податься,4,"св@в/с'':_буд._подАмся,подАшься,подАстся,подадИмся,подадИтесь,подадУтся;_повел._подАйся;_прош._подАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
поддаться,5,"св@в/с'':_буд._поддАмся,поддАшься,поддАстся,поддадИмся,поддадИтесь,поддадУтся;_повел._поддАйся;_прош._поддАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
передаться,6,"св@в/с'':_буд._передАмся,передАшься,передАстся,передадИмся,передадИтесь,передадУтся;_повел._передАйся;_прош._передАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
предаться,5,"св@в/с'':_буд._предамся,предашься,предастся,предадИмся,предадИтесь,предадУтся;_повел._предайся;_прош._предался,-ась,-ось//-ось,-ись//-ись$III",,,
продаться,5,"св@в/с'':_буд._продамся,продашься,продастся,продадИмся,продадИтесь,продадУтся;_повел._продайся;_прош._продался,-ась,-ось//-ось,-ись//-ись$III",,,
раздаться,5,"св@в/с'':_буд._раздАмся,раздАшься,раздАстся,раздадИмся,раздадИтесь,раздадУтся;_повел._раздАйся;_прош._раздАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
сдаться,3,"св@в/с'':_буд._сдАмся,-шься,-стся,-дИмся,-дИтесь,-дУтся;_повел._сдАйся;_прош._сдАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
создаться,5,"св@в/с'':_буд._создАмся,создАшься,создАстся,создадИмся,создадИтесь,создадУтся;_повел._создАйся;_прош._создАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
удаться,3,"св@в/с'':_буд._удАмся,удАшься,удАстся,удадИмся,удадИтесь,удадУтся;_повел._удАйся;_прош._удАлся,-Ась,-Ось//-ось,-Ись//-ись$III",,,
выесть,2,"св@а:_буд._вЫем,-шь,-ст,-дим,-дите,-дят;_повел._вЫешь;_прош._вЫЕл,-а;_прич.страд._вЫеденный$II(выедАть)",,,
доесть,3,"св@в:_буд._доЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._доЕшь;_прош._доЕл,-а;_прич.страд._доЕденный$II(доедАть)",,,
заесть,3,"св@в:_буд._заЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._заЕшь;_прош._заЕл,-а;_прич.страд._заЕденный$II(заедАть)",,,
изъесть,4,"св@в:_буд._изъЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._изъЕшь;_прош._изъЕл,-а;_прич.страд._изъЕденный$II(изъедАть)",,,
надоесть,5,"свнп@в:_буд._надоем,-шь,-ст,-дИм,-дИте,-дЯт;_повел._надоЕшь(_затрудн._);_прош._надоЕл,-а$II(надоедАть)",,,
наесть,3,"св@в:_буд._наЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._наЕшь;_прош._наЕл,-а;_прич.страд._наЕденный$II(наедАть)",,,
объесть,4,"св@в:_буд._объЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._объЕшь;_прош._объЕл,-а;_прич.страд._объЕденный$II(объедАть)",,,
отъесть,4,"св@в:_буд._отъЕм,-шь,-ст,-дИм,-дИте,-дЯт;_повел._отъЕшь;_прош._отъЕл,-а;_прич.страд._отъЕденный$II(отъедАть)",,,
